year,continent,"disaster type",occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage"
1953,Asia,Storm,8,2692,2000000,0,0,2000000,0
1953,Europe,Earthquake,2,910,0,0,0,0,200000
1953,Europe,Flood,8,4322,600700,0,8000,608700,600000
1953,Europe,Storm,2,0,0,0,0,0,50000
1953,Oceania,"Volcanic activity",2,300,0,0,0,0,0
1954,Africa,Earthquake,2,2500,0,0,258500,258500,12000
1954,Africa,Flood,4,60,0,0,0,0,0
1954,Americas,Landslide,8,1098,0,0,0,0,0
1954,Americas,Storm,12,1432,500000,0,0,500000,1662000
1954,Asia,Earthquake,6,4126,0,802,0,802,0
1954,Asia,Flood,14,68812,0,0,0,0,100000
1954,Asia,Landslide,2,60,0,0,0,0,0
1954,Asia,Storm,8,4506,94098,0,0,94098,0
1954,Asia,"Volcanic activity",2,74,0,0,0,0,0
1954,Europe,Earthquake,2,62,0,400,0,400,0
1954,Europe,Landslide,6,1014,760,0,10932,11692,0
1955,Africa,Earthquake,2,40,0,56,0,56,0
1955,Americas,"Extreme temperature ",2,214,0,0,0,0,0
1955,Americas,Flood,2,148,0,0,0,0,0
1955,Americas,"Mass movement (dry)",2,6,0,12,4000,4012,0
1955,Americas,Storm,22,2720,0,0,0,0,1754000
1955,Asia,Earthquake,6,1878,0,4226,0,4226,0
1955,Asia,Flood,2,880,0,0,0,0,0
1955,Asia,Landslide,4,956,0,0,0,0,0
1955,Asia,Storm,14,5068,0,0,750000,750000,0
1955,Oceania,Flood,2,140,0,0,0,0,0
1955,Oceania,Storm,2,2,0,0,0,0,0
1956,Africa,Storm,2,214,0,0,0,0,0
1956,Americas,Landslide,4,132,0,0,0,0,0
1956,Americas,Storm,8,464,0,0,0,0,0
1956,Americas,Wildfire,2,22,0,0,0,0,0
1956,Asia,Earthquake,8,1398,0,4838,0,4838,50000
1956,Asia,Flood,16,7218,0,0,154000,154000,0
1956,Asia,Landslide,6,340,0,0,0,0,0
1956,Asia,Storm,16,5150,2000000,0,0,2000000,0
1956,Europe,Earthquake,2,22,0,140,0,140,0
1956,Europe,Flood,2,8,0,0,0,0,0
1956,Europe,"Volcanic activity",2,0,0,0,0,0,0
1956,Oceania,Storm,2,400,0,0,0,0,0
1957,Africa,Earthquake,2,26,0,0,0,0,0
1957,Americas,Earthquake,2,320,0,58,0,58,50000
1957,Americas,Flood,2,224,0,0,0,0,0
1957,Americas,Storm,6,938,0,0,0,0,300000
1957,Asia,Earthquake,12,13640,20000,10438,0,30438,0
1957,Asia,Flood,18,4564,536480,0,0,536480,0
1957,Asia,Storm,10,1288,500000,222,0,500222,0
1957,Europe,Flood,2,154,0,0,0,0,0
1957,Europe,Storm,2,52,0,0,0,0,0
1957,Oceania,"Volcanic activity",2,0,6400,0,0,6400,0
1958,Americas,Earthquake,4,56,0,70,0,70,20200
1958,Americas,"Extreme temperature ",2,0,0,0,0,0,1040000
1958,Americas,Flood,2,720,0,0,0,0,0
1958,Americas,Storm,6,278,0,0,0,0,0
1958,Asia,Earthquake,4,398,0,1968,0,1968,0
1958,Asia,"Extreme temperature ",2,1302,0,0,0,0,0
1958,Asia,Flood,2,10,10000,0,0,10000,0
1958,Asia,Landslide,2,104,0,0,0,0,0
1958,Asia,Storm,16,4962,40000,0,0,40000,0
1958,Europe,Flood,2,70,0,0,0,0,0
1958,Oceania,Storm,4,0,0,0,0,0,0
1959,Africa,Flood,2,102,0,0,0,0,0
1959,Americas,Earthquake,4,112,0,0,0,0,52000
1959,Americas,Flood,8,4668,0,0,0,0,0
1959,Americas,Storm,8,2192,0,0,0,0,40000
1959,Asia,Earthquake,2,94,0,0,0,0,0
1959,Asia,Flood,16,4002022,26000,0,0,26000,0
1959,Asia,Landslide,2,96,0,0,0,0,0
1959,Asia,Storm,18,17196,3000000,0,0,3000000,1300000
1959,Oceania,Storm,6,2,3200,0,0,3200,4400
1960,Africa,Earthquake,4,24114,0,50000,2500,52500,240000
1960,Africa,Storm,2,84,0,0,0,0,0
1960,Americas,Earthquake,8,13376,4000000,6000,0,4006000,1100000
1960,Americas,Flood,2,650,0,0,0,0,0
1960,Americas,Storm,14,114,0,500,2000,2500,844000
1960,Asia,Drought,2,0,0,0,0,0,0
1960,Asia,Earthquake,6,1300,0,0,0,0,280000
1960,Asia,Flood,12,20504,334000,0,0,334000,0
1960,Asia,Landslide,2,80,0,0,0,0,0
1960,Asia,Storm,22,18130,1280000,254,0,1280254,64000
1960,Europe,Landslide,2,24,0,0,0,0,0
1960,Oceania,Storm,2,0,8000,0,0,8000,82
1960,Oceania,"Volcanic activity",2,0,4000,0,0,4000,0
1961,Africa,Earthquake,2,0,0,0,0,0,0
1961,Africa,Flood,2,400,0,0,0,0,0
1961,Americas,Drought,2,0,0,0,0,0,0
1961,Americas,Storm,10,2264,0,0,0,0,936000
1961,Asia,Earthquake,2,120,0,0,0,0,0
1961,Asia,"Extreme temperature ",2,800,0,0,0,0,0
1961,Asia,Flood,14,7326,2604768,0,4000,2608768,0
1961,Asia,Storm,14,23350,0,0,2342,2342,23800
